review,rating,date,bank,source,vader_compound,vader_label
Nice to meet you my bank,5,2024-09-03,CBE,Google Play,0.4215,pos
Fast service and reliable it works from everywhere across the globe love it,5,2024-09-03,CBE,Google Play,0.6369,pos
Very convenient and easy to use,4,2024-09-03,CBE,Google Play,0.4877,pos
I used to mobile bsnking,5,2024-09-03,CBE,Google Play,0.0,neu
It is very comfortable!,5,2024-09-02,CBE,Google Play,0.5974,pos
It is the best app I like it,4,2024-09-02,CBE,Google Play,0.7717,pos
Good at all,5,2024-09-02,CBE,Google Play,0.4404,pos
"The app doesn't have 1. mini statement service In my opinion, I don't have to go to cbe branch to get mini statements and transactions I have done and pay for it.why? 2. Recent transaction The app doesn't store numerous or enough recent transactions, even it doesn't store what stored properly sometimes.",1,2024-09-02,CBE,Google Play,-0.1027,neg
Bulchaa ibsa,5,2024-09-01,CBE,Google Play,0.0,neu
It's Great App 💪🏼wow which i like it z most👌🏼 but please add biometric authentication,5,2024-09-01,CBE,Google Play,0.8625,pos
I can't describe enough how helpful it was. It's best version than ever mobile banking services.,1,2024-09-01,CBE,Google Play,0.7906,pos
SUBSCRAIB,3,2024-09-01,CBE,Google Play,0.0,neu
"Thank you, everyone",5,2024-08-31,CBE,Google Play,0.3612,pos
Mabratu,5,2024-08-31,CBE,Google Play,0.0,neu
ሀውልቱ ታረቀኝ,1,2024-08-30,CBE,Google Play,0.0,neu
It says you are debited 20birr but it transfers another 10 birr with it I don't understand if it's under their rules,1,2024-08-29,CBE,Google Play,0.0,neu
This is the best transaction app,5,2024-08-29,CBE,Google Play,0.6369,pos
በጣም ጥሩ ነው እናመሰግናለይ ኑራችን ቀላል ስለዳረገቹልን,5,2024-08-29,CBE,Google Play,0.0,neu
It functions to the most part until you need it. The most common flaw is when you send money to another bank account. It shows error but the money is actually gone. I paid twice at least 4 times because of this.,2,2024-08-29,CBE,Google Play,-0.2144,neg
Good appl,5,2024-08-29,CBE,Google Play,0.4404,pos
"Best mobile banking application,it makes it easy for any of my financial transactions",5,2024-08-28,CBE,Google Play,0.7964,pos
This app is update not yet,5,2024-08-28,CBE,Google Play,0.0,neu
ይመቻችሁ,5,2024-08-28,CBE,Google Play,0.0,neu
CBE birr app,5,2024-08-28,CBE,Google Play,0.0,neu
መጣም በጣም ተመችቶኛል በተላይ ነፃ ብድር ቢኖረው,5,2024-08-28,CBE,Google Play,0.0,neu
It's a best application to exchange our money in a best speed and time saving way,1,2024-08-27,CBE,Google Play,0.8555,pos
Ibrahim mahamed,5,2024-08-27,CBE,Google Play,0.0,neu
Hedduu bareda,5,2024-08-27,CBE,Google Play,0.0,neu
How can I link with my CBEbirr wallet.,5,2024-08-27,CBE,Google Play,0.0,neu
"Exchange rate is not applicable or not functional,what is the reason ?",5,2024-08-27,CBE,Google Play,0.0,neu
I used for more than two years although needs improvements...,5,2024-08-27,CBE,Google Play,0.3182,pos
1 year,5,2024-08-27,CBE,Google Play,0.0,neu
"Still needs development on several features.... For example - bank statements available online. The text feature of available balance and debited/credited notifications is very old school and involves too much digital trail. App doesn't always work, could be due to network issues in Ethiopia though. Another major issue is an error message is displayed when transferring from CBE to other banks. Ive almost lost a few thousands doing this once. Always cross check your balances.",1,2024-08-27,CBE,Google Play,-0.5729,neg
Good service at Baburehama branch,5,2024-08-27,CBE,Google Play,0.4404,pos
First and best Online banking in Ethiopia,5,2024-08-26,CBE,Google Play,0.6369,pos
Best application! You have to upgrade additional services like help to withdraw card less amount from ATM machine.,5,2024-08-26,CBE,Google Play,0.8655,pos
ስማርት አፕፕስ!!!,5,2024-08-25,CBE,Google Play,0.0,neu
It is best easy to use fast and trustworthy,5,2024-08-25,CBE,Google Play,0.8934,pos
"Some transaction is not going to be processed accordingly. Which going to take 3-5days which is not completely right. since this bank has mass of customers. However, It should be considered as the money can be needed for emergency purposes.",2,2024-08-25,CBE,Google Play,-0.3818,neg
The Best Mobile Banking App In Ethiopia,5,2024-08-25,CBE,Google Play,0.6369,pos
"This app has several issues based on my experience. Below are the problems that I encountered: 1. The app frequently crashes. 2. It only shows a limited transaction record history (25 transactions). 3. You can't access the transaction records after 8:00 pm and on Sundays. 4. It displays a ""payment failed"" message. It would be greatly appreciated if you could address these issues",1,2024-08-25,CBE,Google Play,-0.5118,neg
Verey excellent,1,2024-08-24,CBE,Google Play,0.5719,pos
Afgkk,5,2024-08-24,CBE,Google Play,0.0,neu
it is not well functional. It always sluggish and poor application.,1,2024-08-24,CBE,Google Play,-0.7659,neg
በጣም ምቹና ቀልጣፋ አፓ ነው,5,2024-08-23,CBE,Google Play,0.0,neu
A useless application that doesn't work.,1,2024-08-23,CBE,Google Play,-0.4215,neg
Can not synchronize,1,2024-08-22,CBE,Google Play,0.0,neu
"Amazing,fast andvaluable application for 🇪🇹 citizens",5,2024-08-21,CBE,Google Play,0.0,neu
It's very suitable app for using,5,2024-08-21,CBE,Google Play,0.0,neu
😍😍,5,2024-08-21,CBE,Google Play,0.7184,pos
"App needs lots of updates to accomodate more demographic for Ethiopians leaving overseas. - Ability to use user name and password to use the application. People leaving over seas if they lose their phone, they can't have access to the application again unless u got to Ethiopia and activated it on the new phone! That's rediocoulus. - This application seems like it's a transfer application, not a bank application. I should be able to do more things such as viewing bank statements and more....",3,2024-08-21,CBE,Google Play,0.3382,pos
Some time network problems,5,2024-08-21,CBE,Google Play,-0.4019,neg
Government Bank,1,2024-08-21,CBE,Google Play,0.0,neu
It is help full ilike it,5,2024-08-20,CBE,Google Play,0.4019,pos
Helpful app,5,2024-08-20,CBE,Google Play,0.4215,pos
Why don't work,5,2024-08-20,CBE,Google Play,0.0,neu
Absolutely terrible App,1,2024-08-19,CBE,Google Play,-0.5256,neg
Love,5,2024-08-18,CBE,Google Play,0.6369,pos
From all commercial banks in Ethiopia this app is very easy to use and the fastest one From other banks Mobile banking app.,4,2024-08-18,CBE,Google Play,0.4927,pos
Recently I have been struggling accessing Cbe app with safaricom network... why???,4,2024-08-18,CBE,Google Play,-0.5171,neg
it's better,5,2024-08-18,CBE,Google Play,0.4404,pos
It is good application,3,2024-08-17,CBE,Google Play,0.4404,pos
Banking,5,2024-08-17,CBE,Google Play,0.0,neu
Wow good,5,2024-08-17,CBE,Google Play,0.7717,pos
"No proper transaction is being recorded or presented on your the UI, the main features of the app is not working properly yet they have so many service in the app",1,2024-08-17,CBE,Google Play,-0.296,neg
በጣም አሪፍ እና ለአጠቃቀም ቀላል ነው,4,2024-08-17,CBE,Google Play,0.0,neu
mirx appk,5,2024-08-16,CBE,Google Play,0.0,neu
There is no option even to check your transactions. And is not users friendly.,2,2024-08-16,CBE,Google Play,-0.5897,neg
DANTRO BAND,5,2024-08-16,CBE,Google Play,0.0,neu
Fuad Abduraman,5,2024-08-15,CBE,Google Play,0.0,neu
Thanks to the number of branches. Mobile banking is not very satisfactory.,1,2024-08-14,CBE,Google Play,0.2199,pos
መቼም ይሻላል 889ከመዛግ በርቱ,5,2024-08-14,CBE,Google Play,0.0,neu
Mot,5,2024-08-14,CBE,Google Play,0.0,neu
it is not good it's like eka eka chewata,1,2024-08-14,CBE,Google Play,-0.5448,neg
Increadable app,5,2024-08-13,CBE,Google Play,0.0,neu
I like it this app,5,2024-08-13,CBE,Google Play,0.3612,pos
You're genuine,1,2024-08-13,CBE,Google Play,0.0,neu
It is good and best app,5,2024-08-13,CBE,Google Play,0.7964,pos
Aftamuu,5,2024-08-13,CBE,Google Play,0.0,neu
"Good aps 4ever,",5,2024-08-13,CBE,Google Play,0.4404,pos
To Day not working why,2,2024-08-12,CBE,Google Play,0.0,neu
ለምንድነው ብር ከተላላክን በኋላ Transaction history የማያሳየን ?,1,2024-08-11,CBE,Google Play,0.0,neu
Ooo best app,5,2024-08-11,CBE,Google Play,0.6369,pos
Very fast and simple transfer app,5,2024-08-11,CBE,Google Play,0.0,neu
its nice,5,2024-08-10,CBE,Google Play,0.4215,pos
Links,5,2024-08-10,CBE,Google Play,0.0,neu
"The app only work on working hour from 8 am-5pm it dont work at night or early in the morning, why do we need it then...try to fix it.",1,2024-08-10,CBE,Google Play,0.0,neu
ITS So easy and fast ✔✔✔✔✔✔✔,5,2024-08-10,CBE,Google Play,0.4927,pos
"The app is simple, fast, and convenient to use.",4,2024-08-10,CBE,Google Play,0.0,neu
Simple and well built,5,2024-08-10,CBE,Google Play,0.2732,pos
Cool,5,2024-08-10,CBE,Google Play,0.3182,pos
I can't change my pin.😢,4,2024-08-10,CBE,Google Play,-0.4767,neg
My account number All contact,5,2024-08-09,CBE,Google Play,0.0772,pos
Best up i love it,5,2024-08-09,CBE,Google Play,0.8555,pos
Yes. Ok,5,2024-08-09,CBE,Google Play,0.5994,pos
Very nice and attractive application,5,2024-08-09,CBE,Google Play,0.7397,pos
Connection,5,2024-08-09,CBE,Google Play,0.0,neu
"Great app,",5,2024-08-09,CBE,Google Play,0.6249,pos
It's game changer application,5,2024-08-09,CBE,Google Play,0.0,neu
"This has so many bugs and doesn't update transaction logs in time, to make it worse it shows error message when you send money but deducts from account at same time but never lets you know that the transaction was successful. And it has very annoying greeting notification.",2,2024-08-09,CBE,Google Play,0.4816,pos
So simple to use and Easier than even MB,5,2024-08-09,CBE,Google Play,0.4215,pos
Best app i really like it,5,2024-08-09,CBE,Google Play,0.7902,pos
Wow Nice App,5,2024-08-09,CBE,Google Play,0.765,pos
Wow absolutely best app,5,2024-08-09,CBE,Google Play,0.8516,pos
Not wotking properly & shows payment failed but already sent z found . this is so bad for country bank app😂,1,2024-08-08,CBE,Google Play,-0.6743,neg
በጣም አስደሳች ነው ግን transfer to own Tellbire የሚለው ላይ transfer ot other Tellbire የሚል ቢጨመር,5,2024-08-08,CBE,Google Play,0.0,neu
Best mobile app ever,5,2024-08-08,CBE,Google Play,0.6369,pos
very very best,5,2024-08-08,CBE,Google Play,0.6976,pos
That's is really good 👍 I like CBE,5,2024-08-08,CBE,Google Play,0.6901,pos
Ok 99%,4,2024-08-07,CBE,Google Play,0.296,pos
አንደኛ ነው ፈጣን ምቹ ቀላል ሳልነካው አልውልም #1ኛነው,5,2024-08-07,CBE,Google Play,0.0,neu
Fahti Kamaal,1,2024-08-07,CBE,Google Play,0.0,neu
compaatble cbe,5,2024-08-07,CBE,Google Play,0.0,neu
Very poor and very disgusting,1,2024-08-06,CBE,Google Play,-0.7956,neg
Ok Bankii daladalaa Itoophayaa Anii noor mobile banking barbadaa,3,2024-08-06,CBE,Google Play,0.296,pos
ለአጠቃቀም ቀላል የሆነ አሪፍ አፕ ነዉ።,5,2024-08-06,CBE,Google Play,0.0,neu
Best app for using and time saving,5,2024-08-06,CBE,Google Play,0.6369,pos
So very important app very useful.,5,2024-08-06,CBE,Google Play,0.6772,pos
Nba,5,2024-08-05,CBE,Google Play,0.0,neu
"Nice app but became inactive after being zippad &released ,plse solve such silly problem",5,2024-08-05,CBE,Google Play,-0.0772,neg
"Always says can't synchronize, while I have active internet access",1,2024-08-05,CBE,Google Play,0.4019,pos
This app is exceptionally fantastic!! Keep updating it!!,5,2024-08-05,CBE,Google Play,0.7237,pos
It is my choice,5,2024-08-05,CBE,Google Play,0.0,neu
Download our app:,5,2024-08-04,CBE,Google Play,0.0,neu
my mobile banking account app blocked please open Borana Zone yabello,5,2024-08-04,CBE,Google Play,0.0516,pos
Good app but it not allowed me to link my ac with walet,4,2024-08-03,CBE,Google Play,0.2382,pos
This app is smart and simple to use.,5,2024-08-03,CBE,Google Play,0.4019,pos
Dobuony bandak jock,5,2024-08-03,CBE,Google Play,0.0,neu
its very fast and active app,1,2024-08-03,CBE,Google Play,0.4522,pos
amezing app!!,3,2024-08-03,CBE,Google Play,0.0,neu
it was good but it has some error by connection......,5,2024-08-02,CBE,Google Play,-0.3818,neg
Ow 🤞🤞🤞 cbe app mobanking,4,2024-08-02,CBE,Google Play,0.0,neu
Very nice application please add additional language commercial bank of Ethiopia back bone of Ethiopian economy,5,2024-08-02,CBE,Google Play,0.6865,pos
It is really nice application helped me a lot.,5,2024-08-02,CBE,Google Play,0.4754,pos
I have one year experience.,5,2024-08-02,CBE,Google Play,0.0,neu
Easy to use and also fast,5,2024-08-01,CBE,Google Play,0.4404,pos
"All those service interruptions... , When you update it stops working and to start using an new appliance you need to go to the bank to activate it... uff...",1,2024-08-01,CBE,Google Play,-0.5106,neg
Remla tem,5,2024-08-01,CBE,Google Play,0.0,neu
Good work,5,2024-08-01,CBE,Google Play,0.4404,pos
Revolutionized ethiopian banking industry to another level I was amazed how it made contact my family easily,5,2024-08-01,CBE,Google Play,0.6808,pos
It's not appropriate for Play store,1,2024-08-01,CBE,Google Play,-0.2584,neg
Fast and easy but there is delayance in refreshing,5,2024-08-01,CBE,Google Play,0.2382,pos
"Not opening the account, very late",2,2024-08-01,CBE,Google Play,0.0,neu
Poor app please upgrade it Example add transfering to telebirr agent,1,2024-08-01,CBE,Google Play,-0.2023,neg
Why not access in galaxy s7 edge??,5,2024-07-31,CBE,Google Play,0.0,neu
Hamza kamal and,3,2024-07-31,CBE,Google Play,0.0,neu
❤❤❤❤❤,5,2024-07-30,CBE,Google Play,0.9719,pos
why dont u referesh ???,5,2024-07-30,CBE,Google Play,0.0,neu
Commercial bankof ETheiopia,5,2024-07-29,CBE,Google Play,0.0,neu
Nice app and always use.,5,2024-07-29,CBE,Google Play,0.4215,pos
Great mobile banking app,5,2024-07-29,CBE,Google Play,0.6249,pos
Usless,1,2024-07-28,CBE,Google Play,0.0,neu
appu በጣም ቀላል ላጠቃቀም ምቹ ሆኖ አጊቼዋለው እንደአስተያየት ሚስጥር ቁጥር ስናስገባ 4 digit ያለው ቁጥር ነው ምናስገባው በተጨማሪ በአሻራ እና በ ፌስ ስካን በማድረግ ብትጨምሩ,5,2024-07-28,CBE,Google Play,0.0,neu
Nays,5,2024-07-28,CBE,Google Play,0.0,neu
Wow best,5,2024-07-28,CBE,Google Play,0.8402,pos
Very nice but network plm,5,2024-07-28,CBE,Google Play,0.2609,pos
Very very limited service,3,2024-07-28,CBE,Google Play,-0.3551,neg
"Make it like telebirr, internet service fee free",3,2024-07-28,CBE,Google Play,0.7003,pos
Thank very much,5,2024-07-28,CBE,Google Play,0.3612,pos
Cbe mobile banking is very active. Thank you!,5,2024-07-27,CBE,Google Play,0.7239,pos
Subscription,5,2024-07-27,CBE,Google Play,0.0,neu
ምርጥ አፕልኬሽን ጊዜንም ገንዘብም የሚቆጥብ,5,2024-07-27,CBE,Google Play,0.0,neu
Very simple and fast,5,2024-07-27,CBE,Google Play,0.0,neu
Its the bast application in my country,5,2024-07-27,CBE,Google Play,0.0,neu
awonderful app,5,2024-07-27,CBE,Google Play,0.0,neu
Right choice.,5,2024-07-27,CBE,Google Play,0.0,neu
V good,5,2024-07-27,CBE,Google Play,0.4404,pos
የመተግበሪያው የይለፍ ቃል በተጨማሪ የጣት አሻራ ቢኖረው።,4,2024-07-26,CBE,Google Play,0.0,neu
A+,5,2024-07-26,CBE,Google Play,0.0,neu
በጣም ጠቃም,5,2024-07-26,CBE,Google Play,0.0,neu
its a disaster really,1,2024-07-26,CBE,Google Play,-0.6249,neg
Xilaun tadel,5,2024-07-25,CBE,Google Play,0.0,neu
Cool cool,5,2024-07-25,CBE,Google Play,0.5574,pos
Exceptional,5,2024-07-25,CBE,Google Play,0.0,neu
It is not fast,1,2024-07-25,CBE,Google Play,0.0,neu
Good application and Best for use,5,2024-07-25,CBE,Google Play,0.7964,pos
Tanks have,5,2024-07-25,CBE,Google Play,0.0,neu
Nice app considering what is out in the market in Ethiopian banking it can be better regarding no. Of recent transaction to display,5,2024-07-24,CBE,Google Play,0.6908,pos
Super !,5,2024-07-23,CBE,Google Play,0.636,pos
No safaricom network,1,2024-07-23,CBE,Google Play,-0.296,neg
like Commercial Bank Ethiopia,5,2024-07-23,CBE,Google Play,0.3612,pos
its not working properly boring app ever,1,2024-07-23,CBE,Google Play,0.2411,pos
GREAT,5,2024-07-23,CBE,Google Play,0.6249,pos
በጣም አሪፍ ሁሌ የሚተማመኑበት ባንክ ነው,5,2024-07-23,CBE,Google Play,0.0,neu
It's fast and secure,5,2024-07-22,CBE,Google Play,0.34,pos
Muluken mekonen abrbe,5,2024-07-22,CBE,Google Play,0.0,neu
👌,5,2024-07-22,CBE,Google Play,0.7297,pos
Jafer Ahmed umer,5,2024-07-22,CBE,Google Play,0.0,neu
Very fast and efficient application.,5,2024-07-22,CBE,Google Play,0.4703,pos
it's good work,5,2024-07-21,CBE,Google Play,0.4404,pos
This is very helpfull app. It workes for me even whil i am abroud. Good job CBE !!!,5,2024-07-21,CBE,Google Play,0.5826,pos
ገቢ እና ወጪን ይዘላል.. አስተካክሉት,2,2024-07-21,CBE,Google Play,0.0,neu
Please protect my security and protect my rewards because some body tries hack me!!,5,2024-07-20,CBE,Google Play,0.9115,pos
I liked it,5,2024-07-20,CBE,Google Play,0.4215,pos
good good,5,2024-07-20,CBE,Google Play,0.7003,pos
I like this apps,5,2024-07-19,CBE,Google Play,0.3612,pos
It was verified and important apps but some customer service officer did know how to verifying,5,2024-07-19,CBE,Google Play,0.1027,pos
"I have not seen anything like it in the Ethiopian banking industry. It is very easy to use, fast, and offers a wide range of services. However, I would like to suggest a future modification: currently, the app only displays transactions for one month. It would be beneficial if it could show transactions for more than one month, including yearly transactions. Please consider this request. Thank you, Commercial Bank of Ethiopia, for this innovative app.",5,2024-07-19,CBE,Google Play,0.9282,pos
ሀሪፍ,1,2024-07-19,CBE,Google Play,0.0,neu
Why app don't work,5,2024-07-19,CBE,Google Play,0.0,neu
"This app is very good. But, Sometimes it doesn't work properly by the problem of network.",4,2024-07-19,CBE,Google Play,-0.3514,neg
Nb one,5,2024-07-19,CBE,Google Play,0.0,neu
It's Nice app ever!!!,5,2024-07-19,CBE,Google Play,0.5684,pos
Bareeda Garuu maaliifi haqaadeema nagahee duraa,5,2024-07-19,CBE,Google Play,0.0,neu
I am Delighted to being the member of this leading Bank!,5,2024-07-18,CBE,Google Play,0.5562,pos
Maliif bakka jalqaba account bananne malee Hojiin egalchiisuun hin dandaamu?,5,2024-07-18,CBE,Google Play,0.0,neu
No 1 banking application in Ethiopia,5,2024-07-17,CBE,Google Play,-0.296,neg
Wenderfull I loved it so much!!!!!,5,2024-07-17,CBE,Google Play,0.7243,pos
It's good app for me,1,2024-07-16,CBE,Google Play,0.4404,pos
Trustfull,5,2024-07-16,CBE,Google Play,0.0,neu
💚💛💋🙏🙏🙏,5,2024-07-16,CBE,Google Play,0.9042,pos
Good service but need imrove mostly bcause some times no work,4,2024-07-16,CBE,Google Play,-0.2144,neg
ABDISA MOHAMMED I can get 4hf my friend how are you feeling I hope my friend is coming up with you tomorrow at the same place you can get it done before the election results I think we need to we can do it together my friend how are things going for my friend,1,2024-07-15,CBE,Google Play,0.9451,pos
Fuke,5,2024-07-15,CBE,Google Play,0.0,neu
"Very poor, not connect properly, deduct money with out report",1,2024-07-15,CBE,Google Play,-0.5256,neg
Refek neser,5,2024-07-15,CBE,Google Play,0.0,neu
"Yesterday, system hackers have taken money out of my CBE account due to problems related with the CBE BIRR SMS and internet banking systems.You must further increase security of the system.I am willing to give further details if necessary. System hackers have unlocked the programning of cash transfer, I understood.",1,2024-07-15,CBE,Google Play,0.25,pos
amisalesh banica,5,2024-07-15,CBE,Google Play,0.0,neu
It good.but there gambler's in using mobile banking I lose 5000birr.,5,2024-07-14,CBE,Google Play,-0.4019,neg
10 Q,5,2024-07-14,CBE,Google Play,0.0,neu
mal,5,2024-07-14,CBE,Google Play,0.0,neu
"""get your verification code from your nearest branch"" ia the first amazing dialogue your face, when you try to setup your CBE App. It is a way back system that requires you to go physically. You should have sent a verification codes either via phone number or email address. You better change this analogue system to the digital one! 😀",2,2024-07-13,CBE,Google Play,0.8687,pos
unable to access my account in the US.,1,2024-07-13,CBE,Google Play,0.0,neu
It is easy to use.,5,2024-07-13,CBE,Google Play,0.4404,pos
Fast service,5,2024-07-13,CBE,Google Play,0.0,neu
about inactive solutions want be!!!,1,2024-07-13,CBE,Google Play,0.4359,pos
አረ ወጪ ገቢዬን በስርአት አሳዪኝ 🙏🙏🙏 ሂሳቦች ብሎ የሚያመጣው የተዘበራረቀ,3,2024-07-12,CBE,Google Play,0.0,neu
Its easy and comfortable thanks,5,2024-07-12,CBE,Google Play,0.8442,pos
Excellent bank,5,2024-07-12,CBE,Google Play,0.5719,pos
it a great app and it really made ma day,5,2024-07-11,CBE,Google Play,0.6249,pos
Woow,5,2024-07-11,CBE,Google Play,0.0,neu
Good jib,5,2024-07-11,CBE,Google Play,0.4404,pos
Awesome!!,5,2024-07-11,CBE,Google Play,0.6892,pos
its goid app,5,2024-07-11,CBE,Google Play,0.0,neu
Best application for transition,5,2024-07-11,CBE,Google Play,0.6369,pos
Mohamedahmed224mohamed ahmed,5,2024-07-10,CBE,Google Play,0.0,neu
I like all service,1,2024-07-10,CBE,Google Play,0.3612,pos
ከፒን ይልቅ በአሻራ እንዲከፈት ማረግ አለባቹሁ።,1,2024-07-10,CBE,Google Play,0.0,neu
Good app compared with other bank app,5,2024-07-10,CBE,Google Play,0.4404,pos
Proud to be CBE's Customer,5,2024-07-10,CBE,Google Play,0.4767,pos
Very interesting application and very useful .,5,2024-07-09,CBE,Google Play,0.734,pos
Happy,2,2024-07-08,CBE,Google Play,0.5719,pos
Too best to did,5,2024-07-08,CBE,Google Play,0.6369,pos
Disaster,1,2024-07-08,CBE,Google Play,-0.6249,neg
"Very good app, but why we don't see the statements?",4,2024-07-08,CBE,Google Play,0.2724,pos
Letebrhan leteberhan,5,2024-07-07,CBE,Google Play,0.0,neu
Good and comfortable,5,2024-07-07,CBE,Google Play,0.7351,pos
ሃሪፈ አብሌኬሺን ሰለሆነ ይጠቀሙ,5,2024-07-07,CBE,Google Play,0.0,neu
Very faster than ussd mode,5,2024-07-06,CBE,Google Play,0.0,neu
could not see balance and account to account t not working,3,2024-07-06,CBE,Google Play,0.0,neu
A life Time,2,2024-07-06,CBE,Google Play,0.0,neu
It is stable and safe.,5,2024-07-06,CBE,Google Play,0.6249,pos
8838𝑒𝑎 935🄹🅄🆀😃😃😃😃፨፨፨፨ገ😃፨፧፨ቸዟዟዞ😂😂😂 😁😁🅿😀😅😁😁😁😁,2,2024-07-06,CBE,Google Play,0.9907,pos
I don't agreed what you are doing on my account regarding of commission payment of this apk. bcz I'm paying for transfer to other so why commission pyt is necessary or tell us and we can go to other banks if your users more bigger than you think 🙄 Is it 5birr is balance pls diminish it,1,2024-07-05,CBE,Google Play,-0.1316,neg
this is good app,5,2024-07-05,CBE,Google Play,0.4404,pos
It is really a great app.,5,2024-07-05,CBE,Google Play,0.6573,pos
Very stupid service bank,1,2024-07-05,CBE,Google Play,-0.5709,neg
"Splendid, fast and accurate service",5,2024-07-05,CBE,Google Play,0.5859,pos
the best one❤,5,2024-07-04,CBE,Google Play,0.8555,pos
Its very nice app,5,2024-07-04,CBE,Google Play,0.4754,pos
CBE The Ethiopian Nations Bank.,5,2024-07-04,CBE,Google Play,0.0,neu
Perfect & good too work at,5,2024-07-03,CBE,Google Play,0.765,pos
Sometimes delayed,3,2024-07-03,CBE,Google Play,-0.2263,neg
Fast and user friendly app,5,2024-07-03,CBE,Google Play,0.4939,pos
Really great banking app,5,2024-07-03,CBE,Google Play,0.659,pos
Politician,5,2024-07-02,CBE,Google Play,0.0,neu
That is the trusted bank In Ethiopia 🇪🇹,5,2024-07-02,CBE,Google Play,0.4767,pos
absolute poor.,1,2024-07-02,CBE,Google Play,-0.4767,neg
Very nice app i never seen such flexible,3,2024-07-02,CBE,Google Play,0.3457,pos
no network for today why,1,2024-07-02,CBE,Google Play,-0.296,neg
"Poor application. Let me list down if you could update the main features. It say error while the money has already sent. We can't get the transaction record (it has limited date) or somtimes the listed record transactions and the details are not the same while we enter to see further details. So if you can, try to see telebirr application and how much simple it is then try to update frequently.",1,2024-07-02,CBE,Google Play,-0.7717,neg
It's 💥💥👌,5,2024-07-02,CBE,Google Play,0.2808,pos
Easy and fast to use this apps. Only you have to add to transfer others telebirr! Thanks CBE,5,2024-07-01,CBE,Google Play,0.7263,pos
Easy to use and well functioning with limited Internet access. Fantastic app.,5,2024-07-01,CBE,Google Play,0.7717,pos
CBE mobail Banking is very good.,5,2024-07-01,CBE,Google Play,0.4927,pos
It is a good app,4,2024-07-01,CBE,Google Play,0.4404,pos
It's essentially for an easy life.,3,2024-07-01,CBE,Google Play,0.4404,pos
It's the best in Ethiopia,5,2024-06-30,CBE,Google Play,0.6369,pos
Good night,5,2024-06-30,CBE,Google Play,0.4404,pos
Very good app & constant ever,5,2024-06-30,CBE,Google Play,0.4927,pos
The screen shot doesn't work.,2,2024-06-30,CBE,Google Play,0.0,neu
It is greatly helpful if upgraded to work offline like *889#.,5,2024-06-30,CBE,Google Play,0.624,pos
Ethiopia,5,2024-06-29,CBE,Google Play,0.0,neu
i am tesfalegn,4,2024-06-29,CBE,Google Play,0.0,neu
የማያጠቅም ባንክ👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2024-06-29,CBE,Google Play,0.0,neu
Taliilaa gutaa Dhugoo xiqii,5,2024-06-29,CBE,Google Play,0.0,neu
Wow amazing to this app,5,2024-06-28,CBE,Google Play,0.8225,pos
Its good aplication make it easy my money transfer and make it more secure,5,2024-06-27,CBE,Google Play,0.8173,pos
"It is best, recommend you guys to use.",5,2024-06-27,CBE,Google Play,0.7717,pos
Woow its good app for All banking service,5,2024-06-27,CBE,Google Play,0.4404,pos
700000 a,5,2024-06-26,CBE,Google Play,0.0,neu
Muhammad Kadire Mahamad,5,2024-06-26,CBE,Google Play,0.0,neu
I says thanks,1,2024-06-26,CBE,Google Play,0.4404,pos
Really satisfying app,5,2024-06-26,CBE,Google Play,0.5095,pos
The Best Mobile Banking App,5,2024-06-26,CBE,Google Play,0.6369,pos
"The app is very nice to use but why you guys are cutting 10birr for each transaction to telebirr? Please, consider all market segments, there are students and labour workers. We all are not that rich 10birr+ service fee to be cut. CBE please, consider these thing.",3,2024-06-25,CBE,Google Play,-0.0873,neg
Good job. Invest and invent more!,5,2024-06-25,CBE,Google Play,0.4926,pos
Passport payment,1,2024-06-25,CBE,Google Play,0.0,neu
Nice one of and to be able skills in a good time for me and the first half of all time taking,5,2024-06-25,CBE,Google Play,0.6908,pos
"couldn't view receipt & can not get help, no telephone contacts. etches",2,2024-06-25,CBE,Google Play,-0.0951,neg
It's perfect,5,2024-06-24,CBE,Google Play,0.5719,pos
I didn't like the topup system writings of phone number part,3,2024-06-24,CBE,Google Play,-0.2047,neg
Nice app !!but not tomuch,4,2024-06-24,CBE,Google Play,0.3578,pos
More or less it is Good Application.Go Ahead.,5,2024-06-24,CBE,Google Play,0.3892,pos
Mikias Gitom,5,2024-06-23,CBE,Google Play,0.0,neu
Nice bank,5,2024-06-23,CBE,Google Play,0.4215,pos
ጥሩ ነው ነገር ግን አብዛኛውን ጊዜ Transaction History አይመዘግብም አልፎ አልፎ አንዳንድ ቢያስቀምጥ እንኳ Order/በቅድምተከተል አይቀመጥም በተጨማሪ Message ያልደረም ከሆነ በጠም አስቸጋሪ ከመሆኑም በላይ በስራችን ላይ ጫና እያደረሰብን ነው ከደንበኞች በቀላሉ መገበያየት አስቻጋሪ ነው እና ይህ ይስተካከል እንላለን !!,2,2024-06-23,CBE,Google Play,0.0,neu
I dont know when it works and dont but its not working more than working,1,2024-06-22,CBE,Google Play,0.0,neu
Working,5,2024-06-21,CBE,Google Play,0.0,neu
Cbe mobile app number one,5,2024-06-21,CBE,Google Play,0.0772,pos
"It nice app,but it's not working using wifi ,if you can try to fix .",5,2024-06-21,CBE,Google Play,0.4215,pos
Nice application,5,2024-06-21,CBE,Google Play,0.4215,pos
